wavelength,flux,error
2505.7548828125,6.266499996185303,0.2506600022315979
2515.757080078125,4.80649995803833,0.1922599971294403
2525.759521484375,4.31850004196167,0.17273999750614166
2535.76171875,5.361499786376953,0.21445998549461365
2545.76416015625,6.196000099182129,0.2478400021791458
2555.7666015625,8.223999977111816,0.32896000146865845
2565.768798828125,10.550000190734863,0.421999990940094
2575.771240234375,13.010000228881836,0.5203999876976013
2585.773681640625,12.979999542236328,0.5191999673843384
2595.77587890625,10.850000381469727,0.43400001525878906
2605.7783203125,8.915499687194824,0.3566199839115143
2615.78076171875,9.304499626159668,0.3721799850463867
2625.782958984375,10.800000190734863,0.4320000112056732
2635.785400390625,16.954999923706055,0.6782000064849854
2645.787841796875,25.90999984741211,1.0363999605178833
2655.790283203125,26.2549991607666,1.0501999855041504
2665.792724609375,25.895000457763672,1.0357999801635742
2675.794921875,26.059999465942383,1.0424000024795532
2685.79736328125,25.334999084472656,1.0133999586105347
2695.7998046875,24.809999465942383,0.9923999309539795
2705.80224609375,27.760000228881836,1.1103999614715576
2715.8046875,23.295000076293945,0.9318000078201294
2725.80712890625,20.485000610351562,0.8194000124931335
2735.8095703125,20.53499984741211,0.821399986743927
2745.81201171875,13.8149995803833,0.5525999665260315
2755.814453125,18.155000686645508,0.7261999845504761
2765.81689453125,25.204999923706055,1.00819993019104
2775.819091796875,24.329999923706055,0.9731999635696411
2785.821533203125,16.540000915527344,0.6615999937057495
2795.823974609375,9.058500289916992,0.3623400032520294
2805.826416015625,9.978500366210938,0.39914000034332275
2815.828857421875,21.690000534057617,0.8676000237464905
2825.83154296875,30.475000381469727,1.218999981880188
2835.833984375,32.529998779296875,1.3011999130249023
2845.83642578125,24.475000381469727,0.9789999723434448
2855.8388671875,16.959999084472656,0.678399920463562
2865.84130859375,33.34000015258789,1.3335999250411987
2875.84375,34.790000915527344,1.3916000127792358
2885.84619140625,33.290000915527344,1.3315999507904053
2895.8486328125,48.91999816894531,1.956799864768982
2905.85107421875,62.255001068115234,2.4902000427246094
2915.853515625,60.18000030517578,2.4071998596191406
2925.85595703125,53.95000076293945,2.1579999923706055
2935.858642578125,55.45000076293945,2.2179999351501465
2945.861083984375,52.68000030517578,2.1071999073028564
2955.863525390625,57.1150016784668,2.284600019454956
2965.865966796875,52.58000183105469,2.1031999588012695
2975.868408203125,52.46500015258789,2.098599910736084
2985.870849609375,48.20000076293945,1.9279999732971191
2995.87353515625,50.154998779296875,2.006199836730957
3005.8759765625,43.6150016784668,1.7446000576019287
3015.87841796875,47.275001525878906,1.8910000324249268
3025.880859375,50.689998626708984,2.027599811553955
3035.88330078125,64.45500183105469,2.578200101852417
3045.885986328125,62.54999923706055,2.501999855041504
3055.888427734375,61.67499923706055,2.4670000076293945
3065.890869140625,57.70500183105469,2.3082001209259033
3075.893310546875,63.849998474121094,2.553999900817871
3085.89599609375,63.5099983215332,2.5403997898101807
3095.8984375,51.64500045776367,2.0657999515533447
3105.90087890625,64.81999969482422,2.5927999019622803
3115.903564453125,75.63999938964844,3.025599956512451
3125.906005859375,68.08000183105469,2.7232000827789307
3135.908447265625,72.58000183105469,2.9031999111175537
3145.9111328125,68.81500244140625,2.7525999546051025
3155.91357421875,65.68499755859375,2.6273999214172363
3165.916015625,65.60001373291016,2.6240005493164062
3175.91845703125,80.25,3.2100000381469727
3185.921142578125,69.03500366210938,2.761399984359741
3195.923583984375,73.86000061035156,2.954400062561035
3205.92626953125,83.48999786376953,3.339599847793579
3215.9287109375,72.59500122070312,2.9038000106811523
3225.93115234375,71.44999694824219,2.857999801635742
3235.933837890625,68.625,2.744999885559082
3245.936279296875,78.95999145507812,3.1583995819091797
3255.938720703125,90.98999786376953,3.6395998001098633
